순위,단어,품사,등급,카테고리
1195,가게,명,A,음식
898,가격03,명,B,음식
2986,가구03,명,C,사물
7434,가구04,명,B,사물
4964,가까워지다,동,B,기타
1695,가까이,부,B,기타
3560,가까이,명,B,기타
648,가깝다,형,A,기타
1747,가꾸다,동,B,기타
852,가끔,부,A,시간 및 빈도
5071,가난01,명,C,기타
1716,가난하다,형,B,기타
2757,가늘다,형,B,기타
6942,가능,명,C,기타
483,가능성,명,B,추상적 개념
501,가능하다,형,B,기타
6003,가능해지다,동,C,기타
25,가다01,동,A,동작
150,가다01,보,A,동작
1196,가득01,부,B,기타
3561,가득하다01,형,B,기타
7971,가득히,부,C,기타
3173,가라앉다,동,C,기타
6170,가려지다,동,C,기타
1956,가령05,부,C,기타
9014,가로01,명,B,기타
5311,가로등,명,C,기타
4576,가로막다,동,C,기타
8286,가로수,명,C,기타
2789,가루01,명,B,기타
4177,가르다,동,C,기타
698,가르치다01,동,A,기타
2884,가르침,명,C,기타
2913,가리다02,동,B,기타
2305,가리다03,동,B,기타
1367,가리키다01,동,B,기타
9888,가만,부,C,기타
7158,가만있다,동,C,기타
1706,가만히,부,B,기타
4755,가뭄,명,C,기타
1530,가방01,명,A,기타
1189,가볍다,형,A,기타
4483,가사09,명,C,기타
3784,가상05,명,C,기타
2000,가수11,명,A,기타
2053,가스,명,B,기타
384,가슴01,명,A,기타
3904,가슴속,명,B,기타
6526,가요02,명,B,기타
264,가운데,명,A,기타
6172,가위01,명,B,기타
1268,가을01,명,A,기타
5167,가이드,명,B,기타
4397,가입,명,C,기타
4484,가입자,명,C,기타
5168,가입하다,동,C,기타
127,가장01,부,A,기타
3454,가장07,명,C,기타
715,가정06,명,B,기타
4398,가정07,명,C,기타
6349,가정교사,명,C,기타
3512,가져가다,동,B,동작
5704,가져다주다,동,B,기타
1060,가져오다,동,A,동작
409,가족01,명,A,사람 및 관계
5072,가죽01,명,B,기타
2124,가지01,명,B,기타
129,가지04,의,B,기타
94,가지다,동,A,기타
514,가지다,보,A,기타
4668,가짜,명,B,기타
550,가치06,명,C,기타
3063,가치관,명,C,기타
8645,가톨릭,명,C,기타
3099,가하다01,동,C,기타
422,각01,관,B,기타
751,각각01,부,B,기타
4178,각각01,명,B,기타
2885,각국,명,B,기타
3213,각기02,부,C,기타
5706,각오01,명,C,기타
3785,각자02,명,B,기타
3562,각자02,부,B,기타
815,각종,명,B,기타
3905,간01,명,C,기타
3620,간08,명,C,기타
335,간10,의,B,기타
4179,간격02,명,C,기타
1336,간단하다02,형,B,기타
2987,간단히,부,B,기타
2187,간부05,명,C,기타
4577,간섭,명,C,기타
8290,간식02,명,B,기타
4034,간신히,부,C,기타
3100,간장01,명,B,기타
4756,간접,명,C,기타
6735,간접적,명,C,기타
3906,간판02,명,C,기타
7160,간편하다,형,C,기타
7977,간호,명,C,기타
7438,간호사,명,A,기타
3786,간혹,부,C,기타
3621,갇히다,동,C,기타
6736,갈다01,동,B,기타
2401,갈다02,동,B,기타
1010,갈등,명,C,기타
12246,갈비01,명,A,기타
38470,갈비탕,명,B,기타
3342,갈색,명,B,기타
3723,갈수록,부,C,기타
4035,갈아입다,동,B,기타
9018,갈아타다,동,B,기타
4578,갈증,명,C,기타
8293,감01,명,B,기타
5312,감12,명,C,기타
1240,감각02,명,C,기타
3343,감기04,명,A,기타
2125,감다01,동,B,기타
4036,감다03,동,C,기타
671,감독02,명,C,기타
2432,감동02,명,B,기타
7161,감동적,명,C,기타
6352,감사08,명,A,기타
3847,감사하다05,형,A,기타
4966,감사하다05,동,A,기타
6530,감상05,명,B,기타
4321,감상하다04,동,B,기타
5170,감소01,명,C,기타
9431,감소되다,동,C,기타
4485,감소하다,동,C,기타
5445,감수성02,명,C,기타
3174,감싸다,동,C,기타
3385,감옥02,명,C,기타
3513,감자01,명,B,기타
846,감정06,명,B,감정 및 상태
9892,감정적01,명,C,감정 및 상태
2092,감추다,동,C,기타
3563,감히,부,C,기타
7979,갑05,명,C,기타
475,갑자기,부,A,기타
4580,갑작스럽다,형,C,기타
788,값,명,A,기타
6946,값싸다,형,C,기타
1812,강01,명,A,자연 및 환경
3344,강남,명,C,자연 및 환경
8651,강당,명,B,자연 및 환경
4669,강도05,명,C,자연 및 환경
4967,강도06,명,B,자연 및 환경
1738,강력하다,형,C,자연 및 환경
4757,강력히,부,C,자연 및 환경
3514,강렬하다02,형,C,자연 및 환경
2988,강물,명,B,자연 및 환경
9433,강변01,명,C,자연 및 환경
9894,강북,명,C,자연 및 환경
5577,강사04,명,C,자연 및 환경
5578,강수량,명,C,자연 및 환경
14028,강아지,명,B,자연 및 환경
3564,강요하다,동,C,자연 및 환경
,강원도,고,B,자연 및 환경
3101,강의02,명,C,자연 및 환경
10371,강의하다02,동,C,자연 및 환경
2275,강제01,명,B,자연 및 환경
7683,강조02,명,C,자연 및 환경
631,강조하다,동,B,자연 및 환경
584,강하다02,형,B,자연 및 환경
2151,강화하다02,동,C,자연 및 환경
3725,갖가지,명,C,기타
190,갖다01,동,B,기타
3515,갖다01,보,B,기타
784,갖추다,동,C,기타
22,같다,형,A,기타
203,같이,부,A,기타
4038,같이하다,동,C,기타
3386,갚다,동,C,기타
1569,개03,명,A,기타
85,개10,의,A,기타
5313,개개인,명,C,기타
4486,개구리,명,B,기타
2914,개국01,의,C,기타
7440,개나리01,명,B,기타
8296,개다01,동,C,기타
3565,개미03,명,C,기타
2565,개발되다,동,C,기타
1269,개발하다,동,B,기타
1296,개방04,명,C,기타
5708,개방되다,동,C,기타
3787,개방하다03,동,C,기타
4322,개별,명,C,기타
1562,개선01,명,C,기타
